Mes,Dia,Inicio,Fin,Promedio_exterior,Promedio_interior,Promedio_clima,Corr(Ext-Clima),Corr(Int-Clima)
Junio,1,15:00,15:30,33,25,21,-0.014,0.612
Junio,1,15:30,16:00,33,24,22,0.057,0.461
Junio,1,16:00,16:30,33,24,21,-0.01,0.616
Junio,1,16:30,17:00,32,24,21,-0.235,0.453
Junio,1,17:00,17:30,32,24,21,-0.04,0.508
Junio,1,17:30,18:00,31,24,22,-0.025,0.593
Junio,1,18:00,18:30,31,24,21,0.028,0.584
Junio,1,18:30,19:00,31,24,22,0.098,0.558
Junio,1,19:00,19:30,30,24,21,0.038,0.421
Junio,1,19:30,20:00,30,24,22,0.055,0.587
Marzo,1,07:00,07:30,21,23,22,0.025,0.575
Marzo,1,07:30,08:00,21,23,22,-0.075,0.47
Marzo,1,08:00,08:30,22,23,22,-0.031,0.475
Marzo,1,08:30,09:00,23,23,22,0.163,0.489
Marzo,1,09:00,09:30,24,23,22,0.092,0.35
Marzo,1,09:30,10:00,24,23,22,0.069,0.606
Marzo,1,10:00,10:30,25,23,22,0.171,0.481
Marzo,1,10:30,11:00,26,23,22,0.043,0.165
Marzo,1,11:00,11:30,27,23,21,-0.114,0.576
Marzo,1,11:30,12:00,27,23,21,-0.305,0.404
Marzo,1,12:00,12:30,27,24,21,-0.152,0.554
Marzo,1,12:30,13:00,28,24,22,0.127,0.595
Marzo,1,13:00,13:30,28,24,22,-0.134,0.567
Marzo,1,13:30,14:00,29,24,22,0.108,0.457
Marzo,1,14:00,14:30,29,24,22,-0.086,0.635
Marzo,1,14:30,15:00,29,24,21,-0.048,0.523
Marzo,1,15:00,15:30,29,24,22,0.055,0.533
Marzo,1,15:30,16:00,29,24,22,-0.071,0.482
Marzo,1,16:00,16:30,29,24,21,0.021,0.335
Marzo,1,16:30,17:00,28,24,21,0.057,0.391
Marzo,1,17:00,17:30,28,24,22,-0.069,0.317
Marzo,1,17:30,18:00,28,24,22,-0.056,0.319
Marzo,1,18:00,18:30,27,23,21,-0.078,0.255
Marzo,1,18:30,19:00,27,24,22,-0.121,0.312
Marzo,1,19:00,19:30,26,23,21,-0.174,0.469
Marzo,1,19:30,20:00,26,23,21,-0.1,0.561
Mayo,1,07:00,07:30,25,23,21,-0.059,0.345
Mayo,1,07:30,08:00,25,23,21,-0.158,0.427
Mayo,1,08:00,08:30,26,24,22,-0.05,0.601
Mayo,1,08:30,09:00,27,23,22,0.016,0.551
Mayo,1,09:00,09:30,27,24,22,-0.021,0.276
Mayo,1,09:30,10:00,28,24,21,0.017,0.563
Mayo,1,10:00,10:30,28,24,21,0.078,0.431
Mayo,1,10:30,11:00,29,24,21,-0.012,0.485
Mayo,1,11:00,11:30,30,24,21,-0.223,0.548
